Model,Accuracy,Precision,Recall,F1-Score,ROC AUC
Logistic Regression,0.6875981161695447,0.5121495327102804,0.6666666666666666,0.5792811839323467,0.73217261124409
Random Forest,0.6546310832025117,0.4746059544658494,0.6593673965936739,0.5519348268839104,0.720854372654662
Final Model (Random Forest),0.6546310832025117,0.4746059544658494,0.6593673965936739,0.5519348268839104,0.720854372654662
