age,yearsmarried,children,religiousness_5,education,occupation_grade6,occupation_husb_grade6,rating_5,yrs_per_age,rate_x_yrs,weight,gender_male,gender_female,target
30.0,5.0,0.0,1.0,13.0,6.0,1.0,5.0,0.1666666666666666,25.0,-80.0,0.0,1.0,0.0
55.0,36.0,3.0,2.0,12.0,4.0,1.0,5.0,0.6545454545454545,90.0,-80.0,0.0,1.0,1.0
37.0,19.0,0.0,4.0,13.0,3.0,1.0,5.0,0.5135135135135135,90.0,-80.0,0.0,1.0,1.0
44.0,22.0,4.0,2.0,12.0,2.0,2.0,5.0,0.5,110.0,-80.0,0.0,1.0,0.0
25.0,4.0,1.0,1.0,17.0,6.0,1.0,5.0,0.16,20.0,-80.0,1.0,0.0,0.0
29.0,8.0,0.0,1.0,12.0,4.0,3.0,5.0,0.2758620689655172,40.0,-80.0,0.0,1.0,0.0
47.0,21.0,2.0,5.0,18.0,6.0,1.0,5.0,0.4468085106382978,90.0,-80.0,0.0,1.0,0.0
32.0,11.0,0.0,5.0,12.0,5.0,2.0,5.0,0.34375,55.0,-80.0,1.0,0.0,0.0
44.0,3.0,0.0,4.0,16.0,6.0,3.0,5.0,0.0681818181818181,15.0,-80.0,1.0,0.0,0.0
38.0,13.0,1.0,5.0,14.0,4.0,4.0,5.0,0.3421052631578947,65.0,-80.0,1.0,0.0,0.0
42.0,21.0,2.0,3.0,12.0,1.0,1.0,5.0,0.5,90.0,-80.0,0.0,1.0,0.0
30.0,10.0,2.0,1.0,12.0,1.0,1.0,5.0,0.3333333333333333,90.0,-80.0,1.0,0.0,0.0
68.0,36.0,4.0,5.0,16.0,6.0,4.0,5.0,0.5294117647058824,180.0,-80.0,1.0,0.0,0.0
52.0,33.0,4.0,2.0,12.0,1.0,1.0,3.0,0.6346153846153846,99.0,-80.0,0.0,1.0,0.0
35.0,10.0,2.0,5.0,17.0,3.0,3.0,3.0,0.2857142857142857,30.0,-80.0,0.0,1.0,0.0
29.0,5.0,1.0,2.0,10.0,2.0,3.0,3.0,0.1724137931034483,15.0,-80.0,1.0,0.0,0.0
79.0,61.0,5.0,3.0,12.0,4.0,1.0,5.0,0.7721518987341772,90.0,-80.0,0.0,1.0,0.0
38.0,19.0,1.0,1.0,12.0,4.0,1.0,5.0,0.5,90.0,-80.0,0.0,1.0,0.0
88.0,70.0,6.0,5.0,12.0,3.0,1.0,5.0,0.7954545454545454,90.0,-80.0,0.0,1.0,0.0
55.0,35.0,2.0,4.0,14.0,1.0,2.0,3.0,0.6363636363636364,105.0,-80.0,0.0,1.0,0.0
37.0,18.0,2.0,4.0,13.0,4.0,1.0,5.0,0.4864864864864865,90.0,-80.0,0.0,1.0,0.0
47.0,26.0,2.0,2.0,16.0,5.0,3.0,5.0,0.5531914893617021,130.0,-80.0,1.0,0.0,0.0
67.0,46.0,3.0,2.0,10.0,2.0,1.0,5.0,0.6865671641791045,90.0,-80.0,1.0,0.0,1.0
44.0,25.0,2.0,1.0,9.0,3.0,1.0,3.0,0.5681818181818182,75.0,-80.0,1.0,0.0,0.0
70.0,44.0,2.0,5.0,17.0,5.0,1.0,5.0,0.6285714285714286,220.0,-80.0,1.0,0.0,0.0
58.0,37.0,1.0,1.0,10.0,3.0,1.0,5.0,0.6379310344827587,90.0,-80.0,1.0,0.0,1.0
34.0,14.0,3.0,3.0,13.0,2.0,1.0,5.0,0.4117647058823529,90.0,-80.0,1.0,0.0,1.0
65.0,38.0,2.0,4.0,8.0,1.0,1.0,3.0,0.5846153846153846,114.0,-80.0,0.0,1.0,0.0
28.0,11.0,2.0,2.0,15.0,3.0,1.0,5.0,0.3928571428571428,90.0,-80.0,0.0,1.0,0.0
31.0,1.0,1.0,2.0,14.0,6.0,2.0,1.0,0.032258064516129,1.0,-80.0,0.0,1.0,1.0
39.0,20.0,1.0,2.0,12.0,5.0,4.0,5.0,0.5128205128205128,100.0,-80.0,1.0,0.0,0.0
41.0,20.0,2.0,1.0,12.0,2.0,1.0,5.0,0.4878048780487805,90.0,-80.0,1.0,0.0,1.0
58.0,38.0,5.0,5.0,8.0,2.0,3.0,5.0,0.6551724137931034,190.0,-80.0,1.0,0.0,0.0
28.0,6.0,0.0,1.0,12.0,3.0,1.0,5.0,0.2142857142857142,30.0,-80.0,1.0,0.0,0.0
48.0,30.0,2.0,5.0,14.0,2.0,1.0,5.0,0.625,90.0,-80.0,0.0,1.0,1.0
50.0,35.0,7.0,3.0,14.0,4.0,4.0,3.0,0.7,105.0,-80.0,0.0,1.0,0.0
55.0,31.0,1.0,4.0,18.0,5.0,4.0,5.0,0.5636363636363636,155.0,-80.0,1.0,0.0,1.0
60.0,35.0,4.0,4.0,12.0,3.0,1.0,5.0,0.5833333333333334,90.0,-80.0,1.0,0.0,0.0
35.0,14.0,3.0,4.0,16.0,1.0,4.0,3.0,0.4,42.0,-80.0,0.0,1.0,0.0
42.0,28.0,6.0,3.0,13.0,5.0,1.0,5.0,0.6666666666666666,140.0,-80.0,0.0,1.0,1.0
29.0,7.0,4.0,3.0,16.0,4.0,2.0,5.0,0.2413793103448276,35.0,-80.0,0.0,1.0,0.0
37.0,14.0,2.0,1.0,11.0,2.0,1.0,5.0,0.3783783783783784,90.0,-80.0,1.0,0.0,1.0
42.0,23.0,0.0,2.0,12.0,3.0,1.0,5.0,0.5476190476190477,115.0,-80.0,0.0,1.0,0.0
41.0,4.0,0.0,1.0,16.0,3.0,1.0,5.0,0.0975609756097561,20.0,-80.0,1.0,0.0,0.0
81.0,60.0,2.0,1.0,14.0,4.0,1.0,5.0,0.7407407407407407,90.0,-80.0,0.0,1.0,0.0
68.0,44.0,4.0,3.0,16.0,6.0,3.0,5.0,0.6470588235294118,220.0,-80.0,1.0,0.0,0.0
62.0,37.0,2.0,1.0,18.0,6.0,4.0,5.0,0.5967741935483871,185.0,-80.0,0.0,1.0,0.0
48.0,26.0,2.0,3.0,16.0,4.0,3.0,5.0,0.5416666666666666,130.0,-80.0,1.0,0.0,0.0
47.0,29.0,2.0,1.0,11.0,3.0,3.0,3.0,0.6170212765957447,87.0,-80.0,1.0,0.0,0.0
31.0,13.0,2.0,3.0,12.0,3.0,2.0,3.0,0.4193548387096774,39.0,-80.0,0.0,1.0,0.0
63.0,49.0,4.0,2.0,13.0,3.0,1.0,5.0,0.7777777777777778,245.0,-80.0,0.0,1.0,0.0
50.0,31.0,1.0,2.0,12.0,6.0,1.0,5.0,0.62,90.0,-80.0,0.0,1.0,0.0
67.0,46.0,3.0,4.0,14.0,5.0,1.0,5.0,0.6865671641791045,90.0,-80.0,0.0,1.0,0.0
35.0,13.0,0.0,2.0,14.0,4.0,1.0,3.0,0.3714285714285714,39.0,-80.0,1.0,0.0,0.0
35.0,18.0,3.0,1.0,9.0,1.0,1.0,3.0,0.5142857142857142,54.0,-80.0,1.0,0.0,1.0
48.0,19.0,2.0,3.0,19.0,6.0,4.0,5.0,0.3958333333333333,95.0,-80.0,0.0,1.0,0.0
67.0,43.0,4.0,5.0,16.0,6.0,3.0,3.0,0.6417910447761194,129.0,-80.0,0.0,1.0,0.0
26.0,10.0,3.0,5.0,10.0,4.0,4.0,5.0,0.3846153846153846,50.0,-80.0,0.0,1.0,0.0
24.0,5.0,1.0,1.0,12.0,4.0,2.0,5.0,0.2083333333333333,25.0,-80.0,1.0,0.0,0.0
39.0,12.0,2.0,4.0,16.0,4.0,4.0,3.0,0.3076923076923077,36.0,-80.0,1.0,0.0,0.0
63.0,39.0,2.0,5.0,12.0,5.0,1.0,5.0,0.6190476190476191,90.0,-80.0,0.0,1.0,0.0
74.0,51.0,2.0,2.0,16.0,6.0,1.0,5.0,0.6891891891891891,90.0,-80.0,1.0,0.0,0.0
38.0,20.0,1.0,5.0,13.0,3.0,1.0,5.0,0.5263157894736842,90.0,-80.0,0.0,1.0,0.0
37.0,14.0,2.0,5.0,16.0,6.0,4.0,3.0,0.3783783783783784,42.0,-80.0,0.0,1.0,0.0
47.0,24.0,2.0,1.0,14.0,3.0,1.0,5.0,0.5106382978723404,90.0,-80.0,0.0,1.0,0.0
38.0,20.0,2.0,5.0,12.0,2.0,3.0,3.0,0.5263157894736842,60.0,-80.0,0.0,1.0,0.0
41.0,20.0,1.0,3.0,12.0,5.0,3.0,5.0,0.4878048780487805,100.0,-80.0,1.0,0.0,0.0
30.0,3.0,1.0,2.0,12.0,2.0,1.0,5.0,0.1,90.0,-80.0,1.0,0.0,1.0
64.0,45.0,2.0,2.0,13.0,4.0,1.0,5.0,0.703125,90.0,-80.0,0.0,1.0,0.0
41.0,19.0,1.0,2.0,13.0,6.0,4.0,5.0,0.4634146341463415,95.0,-80.0,0.0,1.0,0.0
